title,year,genre,rating,value
LeBron James,2020,Basketball,9.5,39.2
Stephen Curry,2022,Basketball,9.4,45.8
Kevin Durant,2014,Basketball,9.3,19.7
Lionel Messi,2019,Soccer,9.7,127.0
Cristiano Ronaldo,2018,Soccer,9.5,109.0
Serena Williams,2015,Tennis,9.4,10.5
Roger Federer,2017,Tennis,9.3,12.2
Tiger Woods,2000,Golf,9.8,9.2
Simone Biles,2016,Gymnastics,9.9,4.5
Usain Bolt,2016,Track,9.8,3.1
Michael Phelps,2008,Swimming,9.9,5.5
Tom Brady,2021,Football,9.6,25.0
Patrick Mahomes,2022,Football,9.5,45.0
Aaron Rodgers,2020,Football,9.2,33.5
Shohei Ohtani,2021,Baseball,9.6,5.5
Mike Trout,2019,Baseball,9.4,36.0
Mookie Betts,2018,Baseball,9.2,20.0
Connor McDavid,2022,Hockey,9.6,12.5
Sidney Crosby,2017,Hockey,9.4,10.9
Alex Ovechkin,2018,Hockey,9.3,9.5
Giannis Antetokounmpo,2021,Basketball,9.4,39.3
Nikola Jokic,2022,Basketball,9.5,29.6
Joel Embiid,2023,Basketball,9.3,33.6
Novak Djokovic,2021,Tennis,9.4,11.8
Rafael Nadal,2022,Tennis,9.2,10.3
Naomi Osaka,2020,Tennis,8.9,8.3
Iga Swiatek,2022,Tennis,9.1,9.0
Neymar Jr,2017,Soccer,9.0,60.0
Kylian Mbappe,2022,Soccer,9.4,110.0
Erling Haaland,2023,Soccer,9.3,80.0
Tyson Fury,2021,Boxing,9.0,8.0
Canelo Alvarez,2022,Boxing,9.2,45.0
Dustin Poirier,2021,MMA,8.7,3.0
Israel Adesanya,2020,MMA,9.0,5.0
Jon Jones,2015,MMA,9.4,2.5
Eliud Kipchoge,2018,Marathon,9.8,1.5
Mo Farah,2016,Track,9.3,1.0
Allyson Felix,2012,Track,9.4,1.2
Caeleb Dressel,2021,Swimming,9.5,1.1
Katie Ledecky,2016,Swimming,9.7,1.0
Chloe Kim,2018,Snowboard,9.5,0.8
Mikaela Shiffrin,2019,Skiing,9.6,1.2
Shaun White,2018,Snowboard,9.2,1.0
Kevin De Bruyne,2020,Soccer,9.2,26.0
Virgil van Dijk,2019,Soccer,9.1,20.0
Luka Doncic,2022,Basketball,9.3,35.0
Ja Morant,2022,Basketball,8.9,33.3
Devin Booker,2022,Basketball,8.8,33.3
Jayson Tatum,2022,Basketball,9.0,32.6
Donovan Mitchell,2023,Basketball,8.9,32.6
