title,year,genre,rating,value
The Legend of Zelda: Ocarina of Time,1998,Adventure,99,7.6
Tony Hawk's Pro Skater 2,2000,Sports,98,3.5
Grand Theft Auto IV,2008,Action,98,25.0
Soul Calibur,1999,Fighting,98,2.1
Super Mario Galaxy,2007,Platformer,97,12.8
Disco Elysium,2019,RPG,97,1.2
Baldur's Gate 3,2023,RPG,96,10.0
The Legend of Zelda: Breath of the Wild,2017,Adventure,97,31.1
Red Dead Redemption 2,2018,Action,97,50.0
Grand Theft Auto V,2013,Action,97,185.0
The Last of Us,2013,Action,95,20.0
Half-Life 2,2004,Shooter,96,12.0
Bioshock,2007,Shooter,96,8.0
Halo 2,2004,Shooter,95,8.0
Portal 2,2011,Puzzle,95,10.0
Mass Effect 2,2010,RPG,96,6.0
The Witcher 3: Wild Hunt,2015,RPG,93,50.0
Minecraft,2011,Sandbox,93,238.0
Super Mario Odyssey,2017,Platformer,97,26.8
God of War,2018,Action,94,23.0
Elden Ring,2022,RPG,96,20.5
Sekiro: Shadows Die Twice,2019,Action,90,8.0
Dark Souls,2011,RPG,89,8.0
Hollow Knight,2017,Platformer,90,3.0
Celeste,2018,Platformer,94,1.5
Hades,2020,Roguelike,93,6.0
Among Us,2018,Strategy,85,5.0
Stardew Valley,2016,Simulation,89,30.0
Animal Crossing: New Horizons,2020,Simulation,90,43.1
The Legend of Zelda: Tears of the Kingdom,2023,Adventure,96,20.6
Spider-Man,2018,Action,87,33.0
Spider-Man: Miles Morales,2020,Action,85,15.0
Cyberpunk 2077,2020,RPG,86,25.0
Ghost of Tsushima,2020,Action,83,9.7
Horizon Zero Dawn,2017,Action,89,20.0
Doom Eternal,2020,Shooter,88,5.0
Death Stranding,2019,Action,82,5.0
Control,2019,Action,82,3.0
Outer Wilds,2019,Adventure,85,2.5
What Remains of Edith Finch,2017,Adventure,88,1.0
Fortnite,2017,Battle Royale,81,25.0
Apex Legends,2019,Battle Royale,82,20.0
Overwatch,2016,Shooter,91,35.0
Rocket League,2015,Sports,86,15.0
Fall Guys,2020,Party,79,8.0
It Takes Two,2021,Platformer,89,10.0
Returnal,2021,Roguelike,86,2.5
Deathloop,2021,Shooter,88,3.0
Inscryption,2021,Strategy,85,2.0
Vampire Survivors,2022,Roguelike,87,5.0
